fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044881,85,Paris Saint Germain,746,Marco Asensio,69.0,7.2,0,0,1,1,49,43,0,2,1,0,1,0,0,0
1044881,85,Paris Saint Germain,930,Carlos Soler,21.0,7.2,0,0,3,1,22,19,0,1,1,0,0,0,0,0
1044881,85,Paris Saint Germain,328,FabiÃ¡n Ruiz,22.0,6.9,0,0,1,1,21,20,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,174565,Hugo EkitikÃ©,8.0,6.6,0,0,0,0,8,7,0,2,0,0,0,1,0,0
1044881,85,Paris Saint Germain,257,Marquinhos,8.0,6.9,0,0,0,0,29,28,0,1,0,0,0,0,0,0
1044881,85,Paris Saint Germain,162473,Arnau Tenas,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,731,Keylor Navas,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,263,Layvin Kurzawa,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,310196,Ismael Gharbi,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,85,Paris Saint Germain,311083,Cher Ndour,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,1142,Yvon Mvogo,90.0,7.6,0,0,0,0,28,18,0,0,0,0,0,0,0,0
1044881,97,Lorient,24245,Gedeon Kalulu,90.0,6.6,0,0,0,0,35,25,0,3,0,0,0,2,0,0
1044881,97,Lorient,193501,Bamo MeÃ¯tÃ©,90.0,7.5,0,0,0,0,22,19,1,6,2,0,1,0,0,0
1044881,97,Lorient,20766,Julien Laporte,90.0,7.3,0,0,0,0,24,19,1,7,3,0,0,0,0,0
1044881,97,Lorient,50030,Montassar Talbi,90.0,7.3,0,0,0,0,25,20,0,3,2,0,0,0,0,0
1044881,97,Lorient,20625,Vincent Le Goff,79.0,6.9,0,0,0,0,26,19,2,2,2,0,0,0,0,0
1044881,97,Lorient,84082,Romain Faivre,90.0,7,0,0,1,0,29,23,1,12,6,2,2,0,0,0
